x,y,fac1,fac2,fac3,fac4
601283,3984570,1.52165,0.15672,0.12565,-0.18523
605239,3984720,1.66237,-3.89511,1.23362,0.28417
601299,3984890,0.7569,0.02076,-0.22238,-0.167
603803,3985000,0.74488,0.05266,-0.31043,0.02684
604061,3985190,0.83567,-1.18944,0.23925,0.18571
603596,3985330,0.42811,-0.82232,-0.63683,-0.0501
603669,3985510,1.43255,-0.42797,-0.7008,-0.08603
598007,3985970,2.1409,-0.3174,0.74258,0.14722
598154,3986090,0.43817,-0.27799,6.05323,0.44045
597811,3986120,0.06186,0.33704,0.62309,-0.17449
595960,3986200,1.08378,0.96101,-0.72226,-0.39588
598079,3986250,1.03226,-0.21064,1.1877,-0.0902
595743,3986290,0.51904,-0.40302,-0.40405,-0.97528
600966,3986310,2.66222,-0.60067,-0.24009,0.26924
602974,3986360,0.89783,-0.60139,-0.00649,-0.10204
593920,3986400,1.37883,0.06273,-0.21899,-0.55469
600944,3986490,1.17998,0.80081,0.33132,-0.61751
604413,3986510,2.94147,-1.4472,-0.4679,0.33096
595717,3986590,0.73593,0.91774,-0.0723,-1.09278
604282,3986610,0.23102,-1.69388,2.21728,-0.12279
593923,3986710,2.03746,-1.35722,-0.66369,0.04079
602004,3986890,0.62327,-0.13646,0.3496,-0.14579
597332,3987000,-0.17371,1.93314,-0.8253,1.46087
602170,3987000,1.48768,-0.16255,-0.12762,-0.64781
596631,3987060,0.06999,0.55303,-0.55969,-0.37574
597505,3987180,-0.70469,1.10925,0.92802,1.57187
605371,3987300,1.59714,-0.49047,0.11546,-0.24103
605453,3987450,1.59468,-0.2779,-0.3493,-0.55707
596967,3987540,0.36598,1.18597,-0.08275,-0.29525
592303,3987620,0.72292,0.30939,0.10674,-0.70782
602411,3987680,0.24204,0.13734,-0.15133,-0.34996
596749,3987690,-0.79451,2.11905,1.62243,1.43985
604569,3987740,-0.76656,-0.54004,3.12242,-0.66997
602056,3987760,0.89977,-0.03774,1.08796,-1.11905
593389,3988210,-0.00503,2.18408,0.71559,-0.97422
593073,3988320,1.77598,-0.4065,0.42289,-0.22649
604206,3988410,-0.30711,-0.14247,1.90936,-0.83402
600393,3988440,0.15236,-0.00472,0.55874,-0.07918
597370,3988590,-1.25537,3.23268,-0.30454,1.10133
600219,3988590,0.76578,-0.1823,0.41695,-0.71296
600525,3988860,1.04758,-0.67415,2.46001,-0.18506
597906,3988910,0.00668,0.53014,0.55591,0.81419
603869,3988960,0.14096,-0.80691,3.78446,0.21953
597762,3989090,-0.91748,1.16068,0.72487,1.51888
604119,3989230,-0.16068,-0.52566,2.87985,0.09832
599831,3989460,-1.59265,0.38432,0.08882,0.06528
594398,3989470,1.01878,1.01818,0.28487,-1.43659
599891,3989730,-1.08853,0.42183,0.22575,0.36464
594348,3989780,1.19069,-0.4132,-0.33559,-0.07854
603883,3989780,-0.78867,-0.21715,2.97444,-0.30639
600854,3989800,-0.78538,0.40916,1.81873,-0.67477
601269,3989810,0.30304,0.25582,1.83308,-0.77142
600033,3989860,-1.29829,0.83682,1.05606,0.2411
595212,3989900,0.97975,0.51137,-0.11659,0.38018
598691,3990020,-0.63731,1.30813,0.52466,0.558
601341,3990050,-0.18318,0.53798,2.92352,0.61998
605227,3990090,0.31072,0.37905,1.05173,0.09273
596921,3990210,-1.27987,1.69179,0.53689,-0.06942
605001,3990210,-0.59357,-0.22641,0.73058,1.97648
599151,3990320,-0.22518,2.32861,-0.07638,0.65774
593156,3990450,0.33877,0.72855,-0.14716,0.61833
593309,3990520,1.64595,0.41127,-0.67992,1.47969
596702,3990540,0.98308,4.03669,0.16617,-0.68873
598505,3990840,0.07695,2.05983,0.02428,-0.25506
596347,3990850,1.89281,1.17467,0.65152,-0.83733
598739,3991210,0.60368,1.58627,0.61112,-1.19318
595208,3991970,1.1629,1.21892,-0.08292,0.48393
604733,3992430,-1.58431,1.44129,0.06807,1.62222
604869,3992610,-0.67378,0.26527,0.0446,0.87111
598344,3992660,-0.5064,0.60152,-0.06432,-0.06425
598004,3992670,0.31578,0.60161,-0.37476,0.20244
602314,3992710,0.92015,0.41369,-0.57756,1.56013
596668,3992800,0.91958,0.22249,-0.48069,-0.93542
597318,3992860,0.9749,-0.07094,-0.74632,-1.21733
601325,3993000,0.26523,0.1305,-0.3327,0.4583
596407,3993050,0.32678,0.7715,0.22933,0.90191
601485,3993090,0.3497,-0.18006,-0.30173,0.22552
596502,3993190,-0.26604,-0.80105,-0.82314,0.03247
597633,3993190,-0.39941,0.00314,0.10755,1.13265
591862,3993230,-0.88893,-0.34979,-0.81091,1.19781
598524,3993310,1.03116,-0.00146,-0.16217,-0.72704
597847,3993330,-0.07196,0.2497,-0.15048,0.33866
594492,3993540,0.48712,-1.31097,-1.08356,0.11962
594237,3993590,0.18978,0.1369,-0.63062,0.89581
600286,3993800,1.20718,0.09246,0.1694,-0.13006
594230,3993920,-0.16013,-0.45378,-0.84808,1.69962
598418,3994000,-0.34045,0.14252,-0.94923,1.58732
591717,3994180,-0.06192,-0.28541,-1.21468,-0.21397
598837,3994410,-0.4026,-0.30502,-0.79065,2.23893
